Section,Type,ID,Language,Field,Content,Ecosystem Impact (-50 to +50),Economic Impact (-50 to +50),Community Impact (-50 to +50),Notes		
SCENARIOS,consequence,fishing-practices_sustainable-quotas,en,consequence,Smart thinking! By only catching some fish we make sure there are always fish in the ocean. Fishers can keep their jobs forever!						
SCENARIOS,pros,fishing-practices_sustainable-quotas,en,pros,Fish populations stay healthy and grow. Fishing jobs last for many years.						
SCENARIOS,cons,fishing-practices_sustainable-quotas,en,cons,Fishers might earn less money at first						
SCENARIOS,choice,fishing-practices_unlimited-fishing,en,text,Catch only species that are most abundant,-35,15,-15			
SCENARIOS,consequence,fishing-practices_unlimited-fishing,en,consequence,Oh no! Even the most abundant species can be overfished. Without clear limits the ocean becomes empty over time. 						
SCENARIOS,pros,fishing-practices_unlimited-fishing,en,pros,Fishers can make lots of money in the short term.						
SCENARIOS,cons,fishing-practices_unlimited-fishing,en,cons,Many fish vanish. Fishing jobs decline over time.						
SCENARIOS,choice,fishing-practices_marine-reserves,en,text,Create special "no fishing" protected zones,30,-10,5			
SCENARIOS,consequence,fishing-practices_marine-reserves,en,consequence,Great! Well-placed protected areas allow populations to multiply. When they swim out they replenish the ocean elsewhere!						
SCENARIOS,pros,fishing-practices_marine-reserves,en,pros,Safe places for fish to grow. More fish over time.						
SCENARIOS,cons,fishing-practices_marine-reserves,en,cons,Less places to fish. Also this does not solve the problem of overfiishing elsewhere. 						
SCENARIOS,title,shipping-traffic,en,title,Whale Highway Danger						
SCENARIOS,description,shipping-traffic,en,description,Large ships that carry stuff and people across the ocean sometimes accidentally hit North Atlantic Right whales  - with only less than 400 left in the world! How can we help?						
SCENARIOS,choice,shipping-traffic_speed-restrictions,en,text,Slow ships down in areas where whales are abundant.,15,-8,0			
SCENARIOS,consequence,shipping-traffic_speed-restrictions,en,consequence,"When ships go slower they are less likely to kill a whale if they hit one. It's like a speed limit for the ocean."						
SCENARIOS,pros,shipping-traffic_speed-restrictions,en,pros,Saves whale lives. Gives most whales time to escape danger 						
SCENARIOS,cons,shipping-traffic_speed-restrictions,en,cons,Ships take longer to deliver stuff. Shipping costs more money. 						
SCENARIOS,choice,shipping-traffic_ignore-whales,en,text,Move shipping lanes to avoid whales altogether,10,-5,0			
SCENARIOS,consequence,shipping-traffic_ignore-whales,en,consequence,Good idea! Fewer whales get hit and die if ships are moved from the areas where whale are most common.						
SCENARIOS,pros,shipping-traffic_ignore-whales,en,pros,Fewer whales get hit						
SCENARIOS,cons,shipping-traffic_ignore-whales,en,cons,Ships may take longer to deliver stuff. And whales are only safe when they stay in their area.						
SCENARIOS,choice,shipping-traffic_detection-systems,en,text,Put whale-spotting personnel and technology on ships,25,-15,5			
SCENARIOS,consequence,shipping-traffic_detection-systems,en,consequence,Cool tech solution! Satellite data  and spotters warn ship captains when whales are nearby. It's like whale radar!						
SCENARIOS,pros,shipping-traffic_detection-systems,en,pros,Ships know roughly where whales are swimming.						
SCENARIOS,cons,shipping-traffic_detection-systems,en,cons,Costs money to maintain. Ship crews need training and need to act on information.						
SCENARIOS,title,renewable-energy,en,title,Ocean Wind Power						
SCENARIOS,description,renewable-energy,en,description,Nova Scotia wants to build large wind turbines in the ocean to make clean electricity. These spinning wheels could power most of our of homes! But building and operating them might cause noise that disturbs whales fish and seabirds. What's the best plan?						
SCENARIOS,choice,renewable-energy_careful-planning,en,text,Plan carefully to avoid whale and bird migration routes,15,5,20			
SCENARIOS,consequence,renewable-energy_careful-planning,en,consequence,Excellent planning! We get clean energy AND protect animal highways. It's like building away from busy ocean neighborhoods.						
SCENARIOS,pros,renewable-energy_careful-planning,en,pros,Clean energy that doesn't hurt sea animals. Best of both worlds!						
SCENARIOS,cons,renewable-energy_careful-planning,en,cons,Takes longer to plan. Might be further from shore and cost more money.						
SCENARIOS,choice,renewable-energy_no-renewables,en,text,Ban construction of ocean wind farms,-10,-5,-15			
SCENARIOS,consequence,renewable-energy_no-renewables,en,consequence,While some animals are kept safe we keep burning dirty fuels for electricty heating up the ocean and affecting all sea life.						
SCENARIOS,pros,renewable-energy_no-renewables,en,pros,No added stress to whales fish and seabirds						
SCENARIOS,cons,renewable-energy_no-renewables,en,cons,Electricity has to be produced by other means. Climate change may get worse.						
SCENARIOS,choice,renewable-energy_adaptive-technology,en,text,Design quieter wind turbines,20,-5,15			
SCENARIOS,consequence,renewable-energy_adaptive-technology,en,consequence,Good innovation! New quiet designs minimize construction and operational noise and actually become artificial reefs that attract fish and other sea life.						
SCENARIOS,pros,renewable-energy_adaptive-technology,en,pros,Reduces noise pollution and impacts on marine life.						
SCENARIOS,cons,renewable-energy_adaptive-technology,en,cons,Costs more to develop. New technology might not always work as expected.						
SCENARIOS,title,coastal-development,en,title,Building by the Beach						
SCENARIOS,description,coastal-development,en,description,More people are moving to Nova Scotia's beautiful coastline. New houses cottages and hotels are being built. But development can damage coastal habitats and cause pollution and erosion. How should we build responsibly?						
SCENARIOS,choice,coastal-development_green-development,en,text,Use eco-friendly building methods that minimize harm to habitats and water quality.,20,-5,15			
SCENARIOS,consequence,coastal-development_green-development,en,consequence,Amazing choice! Green building techniques minimize disturbance and pollution.						
SCENARIOS,pros,coastal-development_green-development,en,pros,Water quality is maintained and the shoreline remains more natural.						
SCENARIOS,cons,coastal-development_green-development,en,cons,Costs more to build. Takes longer to finish projects.						
SCENARIOS,choice,coastal-development_unrestricted-development,en,text,Protect undeveloped coastal lands.,30,-10,-10			
SCENARIOS,consequence,coastal-development_unrestricted-development,en,consequence,This is good for nature! Coastal species thrive where their habitat is protected.						
SCENARIOS,pros,coastal-development_unrestricted-development,en,pros,Keeps the coast natural maintains public access to the shore and protects our shoreline from storms. 						
SCENARIOS,cons,coastal-development_unrestricted-development,en,cons,Reduces the area available for people to live and forces them to build further inland.						
SCENARIOS,choice,coastal-development_buffer-zones-coastal,en,text,Build further from shore. Leave natural spaces between buildings and water,25,-8,12			
SCENARIOS,consequence,coastal-development_buffer-zones-coastal,en,consequence,Good strategy! These coastal buffers zones work like sponges cleaning dirty water before it reaches the ocean.						
SCENARIOS,pros,coastal-development_buffer-zones-coastal,en,pros,Water quality is maintained and houses are more safe from storms.						
SCENARIOS,cons,coastal-development_buffer-zones-coastal,en,cons,Less space available for building. Houses might cost more and water views might be reduced.						
SCENARIOS,title,plastic-pollution,fr,title,Attaque de déchets!						
SCENARIOS,description,plastic-pollution,fr,description,Oh non! Des sacs et bouteilles en plastique arrivent sur les plages de Nouvelle-Écosse. Les tortues de mer pensent que les sacs plastiques sont des méduses et essaient de les manger. Que devons-nous faire pour aider?						
SCENARIOS,choice,plastic-pollution_ban-plastics,fr,text,Interdire les plastiques jetables comme les sacs,20,-5,5			
SCENARIOS,consequence,plastic-pollution_ban-plastics,fr,consequence,Super choix! Avec moins de déchets plastiques les animaux marins sont plus en sécurité. Les baleines et dauphins peuvent nager sans se blesser.						
SCENARIOS,pros,plastic-pollution_ban-plastics,fr,pros,Les animaux marins arrêtent de se blesser. Les plages deviennent plus propres.						
SCENARIOS,cons,plastic-pollution_ban-plastics,fr,cons,Les gens doivent se rappeler d'apporter leurs propres sacs.						
SCENARIOS,choice,plastic-pollution_ignore-problem,fr,text,Continuer à utiliser le plastique comme avant,-30,0,-10			
SCENARIOS,consequence,plastic-pollution_ignore-problem,fr,consequence,Oh là là! Plus d'animaux marins tombent malades en mangeant du plastique. L'océan devient comme une poubelle géante.						
SCENARIOS,pros,plastic-pollution_ignore-problem,fr,pros,Les gens n'ont pas à changer leurs habitudes.						
SCENARIOS,cons,plastic-pollution_ignore-problem,fr,cons,Les tortues et poissons continuent à se blesser.						
SCENARIOS,choice,plastic-pollution_beach-cleanup,fr,text,Organiser des fêtes de nettoyage de plage,10,0,20			
SCENARIOS,consequence,plastic-pollution_beach-cleanup,fr,consequence,Excellente idée! Chaque déchet qu'on ramasse sauve un animal marin. En plus c'est amusant avec des amis!						
SCENARIOS,pros,plastic-pollution_beach-cleanup,fr,pros,Aide les animaux immédiatement. Les gens apprennent pourquoi c'est important.						
SCENARIOS,cons,plastic-pollution_beach-cleanup,fr,cons,Ne nettoie que les vieux déchets. De nouveaux déchets continuent d'arriver.						
SCENARIOS,title,fishing-practices,fr,title,Pêche pour l'avenir						
SCENARIOS,description,fishing-practices,fr,description,Les bateaux de pêche attrapent des tonnes de poissons chaque jour près de la Nouvelle-Écosse. La pêche donne du travail et de la nourriture délicieuse. Mais si on attrape trop de poissons les bébés poissons n'auront pas de parents. Comment pêcher intelligemment?						
SCENARIOS,choice,fishing-practices_sustainable-quotas,fr,text,Fixer des limites sur la quantité de poissons à pêcher,25,-5,10			
SCENARIOS,consequence,fishing-practices_sustainable-quotas,fr,consequence,Bonne idée! En ne pêchant qu'une partie des poissons on s'assure qu'il y en aura toujours dans l'océan. Les pêcheurs peuvent garder leur emploi pour toujours!						
SCENARIOS,pros,fishing-practices_sustainable-quotas,fr,pros,Les familles de poissons restent ensemble et grandissent. Les emplois de pêche durent longtemps.						
SCENARIOS,cons,fishing-practices_sustainable-quotas,fr,cons,Les pêcheurs pourraient gagner moins d'argent au début.						
SCENARIOS,choice,fishing-practices_unlimited-fishing,fr,text,Pêcher autant que possible,-35,15,-15			
SCENARIOS,consequence,fishing-practices_unlimited-fishing,fr,consequence,Oh non! Tous les poissons disparaissent. Sans poissons parents aucun bébé poisson ne naît. Bientôt l'océan sera vide.						
SCENARIOS,pros,fishing-practices_unlimited-fishing,fr,pros,Les pêcheurs gagnent beaucoup d'argent maintenant.						
SCENARIOS,cons,fishing-practices_unlimited-fishing,fr,cons,Tous les poissons disparaissent. Plus d'emplois de pêche. Plus de dîners de poisson.						
SCENARIOS,choice,fishing-practices_marine-reserves,fr,text,Créer des zones de sécurité "sans pêche",30,-10,5			
SCENARIOS,consequence,fishing-practices_marine-reserves,fr,consequence,Parfait! Ces zones sont comme des nurseries où les bébés poissons grandissent en sécurité. Puis ils nagent pour remplir tout l'océan!						
SCENARIOS,pros,fishing-practices_marine-reserves,fr,pros,Des endroits sûrs pour les bébés poissons. Plus de poissons partout avec le temps.						
SCENARIOS,cons,fishing-practices_marine-reserves,fr,cons,Certains pêcheurs ne peuvent pas pêcher dans ces zones.						
SCENARIOS,title,shipping-traffic,fr,title,Danger sur la route des baleines						
SCENARIOS,description,shipping-traffic,fr,description,De gigantesques cargos passent près de la Nouvelle-Écosse chaque jour. Parfois ils heurtent accidentellement des baleines car ils vont très vite. Les baleines franches de l'Atlantique sont presque éteintes - il n'en reste qu'environ 340! Comment aider?						
SCENARIOS,choice,shipping-traffic_speed-restrictions,fr,text,Faire ralentir les navires dans les zones de baleines,15,-8,0			
SCENARIOS,consequence,shipping-traffic_speed-restrictions,fr,consequence,Brillant! Quand les navires vont plus lentement les baleines ont le temps de s'écarter. C'est comme une limite de vitesse pour sauver des vies!						
SCENARIOS,pros,shipping-traffic_speed-restrictions,fr,pros,Sauve des vies de baleines. Donne du temps aux baleines pour éviter le danger.						
SCENARIOS,cons,shipping-traffic_speed-restrictions,fr,cons,Les navires mettent plus de temps à livrer. Le transport coûte plus cher.						
SCENARIOS,choice,shipping-traffic_ignore-whales,fr,text,Laisser les navires aller aussi vite qu'ils veulent,10,-5,0			
SCENARIOS,consequence,shipping-traffic_ignore-whales,fr,consequence,Terrible! Plus de baleines sont heurtées et meurent. Ces géants incroyables pourraient disparaître pour toujours.						
SCENARIOS,pros,shipping-traffic_ignore-whales,fr,pros,Les navires livrent rapidement et à bas prix.						
SCENARIOS,cons,shipping-traffic_ignore-whales,fr,cons,Les baleines deviennent éteintes. Nous perdons ces animaux incroyables.						
SCENARIOS,choice,shipping-traffic_detection-systems,fr,text,Mettre des technologies de détection de baleines sur les navires,25,-15,5			
SCENARIOS,consequence,shipping-traffic_detection-systems,fr,consequence,Solution technologique cool! Des ordinateurs spéciaux avertissent les capitaines quand des baleines sont proches. C'est comme un radar à baleines!						
SCENARIOS,pros,shipping-traffic_detection-systems,fr,pros,Les navires savent exactement où nagent les baleines.						
SCENARIOS,cons,shipping-traffic_detection-systems,fr,cons,Coûte cher d'acheter la technologie. Les équipages doivent être formés.						
SCENARIOS,title,renewable-energy,fr,title,L'énergie éolienne océanique						
SCENARIOS,description,renewable-energy,fr,description,La Nouvelle-Écosse veut construire d'énormes éoliennes dans l'océan pour produire de l'électricité propre. Ces tours géantes pourraient alimenter des milliers de maisons! Mais leur construction pourrait déranger les baleines et poissons. Quel est le meilleur plan?						
SCENARIOS,choice,renewable-energy_careful-planning,fr,text,Planifier soigneusement pour éviter les routes migratoires des baleines,15,5,20			
SCENARIOS,consequence,renewable-energy_careful-planning,fr,consequence,Excellente planification! On obtient de l'énergie propre ET on protège les routes des baleines. C'est comme construire autour des quartiers importants pour les animaux.						
SCENARIOS,pros,renewable-energy_careful-planning,fr,pros,Énergie propre qui ne nuit pas aux animaux marins. Le meilleur des deux mondes!						
SCENARIOS,cons,renewable-energy_careful-planning,fr,cons,Prend plus de temps à planifier. Peut coûter plus cher au départ.						
SCENARIOS,choice,renewable-energy_no-renewables,fr,text,Ne pas construire de parcs éoliens océaniques,-10,-5,-15			
SCENARIOS,consequence,renewable-energy_no-renewables,fr,consequence,Sans énergie propre on continue à brûler des combustibles sales qui réchauffent l'océan et nuisent à toute la vie marine.						
SCENARIOS,pros,renewable-energy_no-renewables,fr,pros,Pas de bruit de construction qui dérange les animaux marins.						
SCENARIOS,cons,renewable-energy_no-renewables,fr,cons,L'océan continue de chauffer. Le changement climatique s'aggrave.						
SCENARIOS,choice,renewable-energy_adaptive-technology,fr,text,Concevoir des éoliennes respectueuses des poissons,20,-5,15			
SCENARIOS,consequence,renewable-energy_adaptive-technology,fr,consequence,Innovation super cool! Les nouveaux designs silencieux deviennent en fait des récifs artificiels où les poissons aiment vivre!						
SCENARIOS,pros,renewable-energy_adaptive-technology,fr,pros,Crée de nouveaux habitats pour les poissons. Plus silencieux pour les baleines.						
SCENARIOS,cons,renewable-energy_adaptive-technology,fr,cons,Coûte plus cher à développer. La nouvelle technologie peut réserver des surprises.						
SCENARIOS,title,coastal-development,fr,title,Construire près de la plage						
SCENARIOS,description,coastal-development,fr,description,Plus de familles veulent vivre près de la belle côte de la Nouvelle-Écosse. De nouvelles maisons magasins et hôtels sont construits. Mais la construction peut faire couler de l'eau sale dans l'océan. Comment construire de manière responsable?						
SCENARIOS,choice,coastal-development_green-development,fr,text,Utiliser des méthodes de construction écologiques,20,-5,15			
SCENARIOS,consequence,coastal-development_green-development,fr,consequence,Choix incroyable! La construction verte garde l'eau claire et protège les habitats des animaux marins. Les générations futures nous remercieront!						
SCENARIOS,pros,coastal-development_green-development,fr,pros,Eau propre pour tous. Les animaux gardent leurs habitats en sécurité.						
SCENARIOS,cons,coastal-development_green-development,fr,cons,Coûte plus cher. Prend plus de temps pour finir les projets.						
SCENARIOS,choice,coastal-development_unrestricted-development,fr,text,Construire où et comme les gens veulent,30,-10,-10			
SCENARIOS,consequence,coastal-development_unrestricted-development,fr,consequence,Aïe! L'eau sale coule dans l'océan le rendant trouble. Les nurseries de poissons sont détruites. Les bébés poissons n'ont nulle part où grandir.						
SCENARIOS,pros,coastal-development_unrestricted-development,fr,pros,Construction plus rapide et moins chère. Plus d'emplois dans la construction tout de suite.						
SCENARIOS,cons,coastal-development_unrestricted-development,fr,cons,L'océan devient pollué. Les animaux perdent leurs habitats.						
SCENARIOS,choice,coastal-development_buffer-zones-coastal,fr,text,Laisser des espaces naturels entre les bâtiments et l'eau,25,-8,12			
SCENARIOS,consequence,coastal-development_buffer-zones-coastal,fr,consequence,Stratégie brillante! Ces zones tampons vertes agissent comme des éponges géantes nettoyant l'eau sale avant qu'elle n'atteigne l'océan.						
SCENARIOS,pros,coastal-development_buffer-zones-coastal,fr,pros,Filtre naturel de l'eau. Les animaux ont des chemins sûrs pour se déplacer.						
SCENARIOS,cons,coastal-development_buffer-zones-coastal,fr,cons,Moins d'espace pour construire. Les maisons peuvent coûter plus cher.						
SCENARIOS,title,plastic-pollution,mi,title,Kaqawej maqamikew!						
SCENARIOS,description,plastic-pollution,mi,description,Oqwa! Kaqawej aqq plastik ma't wetapekl wuskitqamu'k puksit. Mimkitamuj kisi'kt wipusultip plastik ma't na jellyfish aqq kesalultijik mu'in. Nkmuj na ji'nm kesimqwatijik?						
SCENARIOS,choice,plastic-pollution_ban-plastics,mi,text,Maqamitenej kaqawej plastik ma'tujik,20,-5,5			
SCENARIOS,consequence,plastic-pollution_ban-plastics,mi,consequence,Wela wetultip! Apoqnmuej plastik samqwan napeskamultijik wjit teli nktuei. Puktusk tuwalskisk aqq nemitisk kesalayik apoqonmuej.						
SCENARIOS,pros,plastic-pollution_ban-plastics,mi,pros,Samqwan nkamlamulkwayik. Puksitik wjit apoqonmueyik.						
SCENARIOS,cons,plastic-pollution_ban-plastics,mi,cons,L'nuk elt klamnultijik teli weluiktalanku ma'tajik.						
SCENARIOS,choice,plastic-pollution_ignore-problem,mi,text,Kmutu kesipkwatultinenej plastik,-30,0,-10			
SCENARIOS,consequence,plastic-pollution_ignore-problem,mi,consequence,Mawi! Samqwan kesipawayik plastik ni'p. Uktukamkw wjit puktayik kaqawej.						
SCENARIOS,pros,plastic-pollution_ignore-problem,mi,pros,L'nuk ma ta'n teltultijik mu'in kesalkwatultinenej.						
SCENARIOS,cons,plastic-pollution_ignore-problem,mi,cons,Mimkitamuj aqq nkmuj kisi'kt kespayik. Puksitik apoqoneykw.						
SCENARIOS,choice,plastic-pollution_beach-cleanup,mi,text,Mawulkultimkenej apoqonmuewey,10,0,20			
SCENARIOS,consequence,plastic-pollution_beach-cleanup,mi,consequence,Wela! Kisu'k kaqawej naskwatimk ap naskwataq samqwan. Aq wjit wintaponej witapikiktuk!						
SCENARIOS,pros,plastic-pollution_beach-cleanup,mi,pros,Nukwaan ankotunemul samqwanuwa. L'nuk kesteltanej weluey.						
SCENARIOS,cons,plastic-pollution_beach-cleanup,mi,cons,Mutt kesanskomik amsqwan kaqawej. Skitqamu kaqawej teluewey.						
SCENARIOS,title,fishing-practices,mi,title,Kesalultijik aqq Kiskukewey						
SCENARIOS,description,fishing-practices,mi,description,Kesalultijik wjit Nova Scotia aqq kesalultijik wjit puktuk. Kesalultijik wjit puktuk aqq kesalultijik wjit puktuk. Kesalultijik wjit puktuk aqq kesalultijik wjit puktuk. Kesalultijik wjit puktuk aqq kesalultijik wjit puktuk. Kesalultijik wjit puktuk aqq kesalultijik wjit puktuk. Kesalultijik wjit puktuk aqq kesalultijik wjit puktuk.						
SCENARIOS,choice,fishing-practices_sustainable-quotas,mi,text,Kesalultijik wjit puktuk,25,-5,10			
SCENARIOS,consequence,fishing-practices_sustainable-quotas,mi,consequence,Kesalultijik wjit puktuk						
SCENARIOS,pros,fishing-practices_sustainable-quotas,mi,pros,Kesalultijik wjit puktuk						
SCENARIOS,cons,fishing-practices_sustainable-quotas,mi,cons,Kesalultijik wjit puktuk						
SCENARIOS,choice,fishing-practices_unlimited-fishing,mi,text,Kesalultijik wjit puktuk,-35,15,-15			
SCENARIOS,consequence,fishing-practices_unlimited-fishing,mi,consequence,Kesalultijik wjit puktuk						
SCENARIOS,pros,fishing-practices_unlimited-fishing,mi,pros,Kesalultijik wjit puktuk						
SCENARIOS,cons,fishing-practices_unlimited-fishing,mi,cons,Kesalultijik wjit puktuk						
SCENARIOS,choice,fishing-practices_marine-reserves,mi,text,Kesalultijik wjit puktuk,30,-10,5			
SCENARIOS,consequence,fishing-practices_marine-reserves,mi,consequence,Kesalultijik wjit puktuk						
SCENARIOS,pros,fishing-practices_marine-reserves,mi,pros,Kesalultijik wjit puktuk						
SCENARIOS,cons,fishing-practices_marine-reserves,mi,cons,Kesalultijik wjit puktuk						
SCENARIOS,title,shipping-traffic,mi,title,Kesalultijik aqq Kiskukewey						
SCENARIOS,description,shipping-traffic,mi,description,Kesalultijik wjit Nova Scotia aqq kesalultijik wjit puktuk. Kesalultijik wjit puktuk.						
SCENARIOS,choice,shipping-traffic_speed-restrictions,mi,text,Kesalultijik wjit puktuk,15,-8,0			
SCENARIOS,consequence,shipping-traffic_speed-restrictions,mi,consequence,Kesalultijik wjit puktuk						
SCENARIOS,pros,shipping-traffic_speed-restrictions,mi,pros,Kesalultijik wjit puktuk						
SCENARIOS,cons,shipping-traffic_speed-restrictions,mi,cons,Kesalultijik wjit puktuk						
SCENARIOS,choice,shipping-traffic_ignore-whales,mi,text,Kesalultijik wjit puktuk,10,-5,0			
SCENARIOS,consequence,shipping-traffic_ignore-whales,mi,consequence,Kesalultijik wjit puktuk						
SCENARIOS,pros,shipping-traffic_ignore-whales,mi,pros,Kesalultijik wjit puktuk						
SCENARIOS,cons,shipping-traffic_ignore-whales,mi,cons,Kesalultijik wjit puktuk						
SCENARIOS,choice,shipping-traffic_detection-systems,mi,text,Kesalultijik wjit puktuk,25,-15,5			
SCENARIOS,consequence,shipping-traffic_detection-systems,mi,consequence,Kesalultijik wjit puktuk						
SCENARIOS,pros,shipping-traffic_detection-systems,mi,pros,Kesalultijik wjit puktuk						
SCENARIOS,cons,shipping-traffic_detection-systems,mi,cons,Kesalultijik wjit puktuk						
SCENARIOS,title,renewable-energy,mi,title,Kesalultijik aqq Kiskukewey						
SCENARIOS,description,renewable-energy,mi,description,Kesalultijik wjit Nova Scotia aqq kesalultijik wjit puktuk.						
SCENARIOS,choice,renewable-energy_careful-planning,mi,text,Kesalultijik wjit puktuk,15,5,20			
SCENARIOS,consequence,renewable-energy_careful-planning,mi,consequence,Kesalultijik wjit puktuk						
SCENARIOS,pros,renewable-energy_careful-planning,mi,pros,Kesalultijik wjit puktuk						
SCENARIOS,cons,renewable-energy_careful-planning,mi,cons,Kesalultijik wjit puktuk						
SCENARIOS,choice,renewable-energy_no-renewables,mi,text,Kesalultijik wjit puktuk,-10,-5,-15			
SCENARIOS,consequence,renewable-energy_no-renewables,mi,consequence,Kesalultijik wjit puktuk						
SCENARIOS,pros,renewable-energy_no-renewables,mi,pros,Kesalultijik wjit puktuk						
SCENARIOS,cons,renewable-energy_no-renewables,mi,cons,Kesalultijik wjit puktuk						
SCENARIOS,choice,renewable-energy_adaptive-technology,mi,text,Kesalultijik wjit puktuk,20,-5,15			
SCENARIOS,consequence,renewable-energy_adaptive-technology,mi,consequence,Kesalultijik wjit puktuk						
SCENARIOS,pros,renewable-energy_adaptive-technology,mi,pros,Kesalultijik wjit puktuk						
SCENARIOS,cons,renewable-energy_adaptive-technology,mi,cons,Kesalultijik wjit puktuk						
SCENARIOS,title,coastal-development,mi,title,Kesalultijik aqq Kiskukewey						
SCENARIOS,description,coastal-development,mi,description,Kesalultijik wjit Nova Scotia aqq kesalultijik wjit puktuk.						
SCENARIOS,choice,coastal-development_green-development,mi,text,Kesalultijik wjit puktuk,20,-5,15			
SCENARIOS,consequence,coastal-development_green-development,mi,consequence,Kesalultijik wjit puktuk						
SCENARIOS,pros,coastal-development_green-development,mi,pros,Kesalultijik wjit puktuk						
SCENARIOS,cons,coastal-development_green-development,mi,cons,Kesalultijik wjit puktuk						
SCENARIOS,choice,coastal-development_unrestricted-development,mi,text,Kesalultijik wjit puktuk,30,-10,-10			
SCENARIOS,consequence,coastal-development_unrestricted-development,mi,consequence,Kesalultijik wjit puktuk						
SCENARIOS,pros,coastal-development_unrestricted-development,mi,pros,Kesalultijik wjit puktuk						
SCENARIOS,cons,coastal-development_unrestricted-development,mi,cons,Kesalultijik wjit puktuk						
SCENARIOS,choice,coastal-development_buffer-zones-coastal,mi,text,Kesalultijik wjit puktuk,25,-8,12			
SCENARIOS,consequence,coastal-development_buffer-zones-coastal,mi,consequence,Kesalultijik wjit puktuk						
SCENARIOS,pros,coastal-development_buffer-zones-coastal,mi,pros,Kesalultijik wjit puktuk						
SCENARIOS,cons,coastal-development_buffer-zones-coastal,mi,cons,Kesalultijik wjit puktuk						
UI_ELEMENTS,ui_text,WelcomeScreen_Title,en,Title,Guardians of the Scotian Shelf				Main title		
UI_ELEMENTS,ui_text,WelcomeScreen_Title,fr,Title,Gardiens du plateau continental scotian				Main title		
UI_ELEMENTS,ui_text,WelcomeScreen_Title,mi,Title,Ankamkewe'k Kespukek				Main title		
UI_ELEMENTS,ui_text,WelcomeScreen_Subtitle,en,Subtitle,See how people affect sea life near Nova Scotia				Subtitle description		
UI_ELEMENTS,ui_text,WelcomeScreen_Subtitle,fr,Subtitle,Découvrez comment les gens affectent la vie marine près de la Nouvelle-Écosse				Subtitle description		
UI_ELEMENTS,ui_text,WelcomeScreen_Subtitle,mi,Subtitle,Wejkukuom talimkewe'k samqwanikatl Kespukek				Subtitle description		
UI_ELEMENTS,ui_text,WelcomeScreen_Start Button,en,Start Button,Start Playing				Main CTA button		
UI_ELEMENTS,ui_text,WelcomeScreen_Start Button,fr,Start Button,Commencer à jouer				Main CTA button		
UI_ELEMENTS,ui_text,WelcomeScreen_Start Button,mi,Start Button,Mawita'n				Main CTA button		
UI_ELEMENTS,ui_text,WelcomeScreen_Touch Instruction,en,Touch Instruction,Touch to start				Bottom instruction text		
UI_ELEMENTS,ui_text,WelcomeScreen_Touch Instruction,fr,Touch Instruction,Touchez pour commencer				Bottom instruction text		
UI_ELEMENTS,ui_text,WelcomeScreen_Touch Instruction,mi,Touch Instruction,Pekowsin mawita'si'k				Bottom instruction text		
UI_ELEMENTS,ui_text,ScenarioPreview_Title,en,Title,Your Ocean Adventure				Main heading		
UI_ELEMENTS,ui_text,ScenarioPreview_Title,fr,Title,Votre aventure océanique				Main heading		
