Section,Type,ID,Language,Field,Content,Ecosystem Impact (-50 to +50),Economic Impact (-50 to +50),Community Impact (-50 to +50),Notes
SCENARIOS,pros,plastic-pollution_ban-plastics,fr,pros,Moins d’animaux marins seront blessés par du plastique. Les plages deviendront plus propres avec le temps.,,,,
SCENARIOS,cons,plastic-pollution_ban-plastics,fr,cons,Il se peut que les gens n’aient pas accès aux produits qu’ils veulent. Le prix de certaines choses peut augmenter.,,,,
SCENARIOS,choice,plastic-pollution_ignore-problem,fr,text,Continuer à utiliser du plastique mais créer de meilleurs programmes de recyclage.,-30,0,-10,
SCENARIOS,consequence,plastic-pollution_ignore-problem,fr,consequence,"Moins de plastique se retrouve dans l’océan. Mais de nombreux plastiques sont difficiles à recycler, et il se peut qu’ils continuent à polluer l’environnement.",,,,
SCENARIOS,pros,plastic-pollution_ignore-problem,fr,pros,Les gens ont accès aux mêmes produits que ceux auxquels ils ont accès présentement.,,,,
SCENARIOS,cons,plastic-pollution_ignore-problem,fr,cons,Les tortues de mer et les poissons continuent de se faire blesser. Les plages restent jonchées de déchets.,,,,
SCENARIOS,choice,plastic-pollution_beach-cleanup,fr,text,Organiser des opérations communautaires de nettoyage des plages.,10,0,20,
SCENARIOS,consequence,plastic-pollution_beach-cleanup,fr,consequence,Cela aide tout de suite à protéger la faune et la flore marines.,,,,
SCENARIOS,pros,plastic-pollution_beach-cleanup,fr,pros,Chaque déchet que nous ramassons aide à garder les animaux en sécurité et à faire en sorte que nos plages restent magnifiques. Cela réunit les communautés autour d’un objectif commun.,,,,
SCENARIOS,cons,plastic-pollution_beach-cleanup,fr,cons,Cela ne permet que de ramasser les vieux déchets. De nouveaux déchets plastiques continuent d’arriver à moins que nous ne changions nos habitudes.,,,,
SCENARIOS,title,fishing-practices,fr,title,Pêcher avec l’avenir en tête,,,,
SCENARIOS,description,fishing-practices,fr,description,"Les bateaux de pêche capturent chaque jour de nombreuses tonnes de poissons près de la Nouvelle-Écosse. La pêche fournit aux gens des emplois et des aliments nutritifs. Mais si nous attrapons trop de poissons, il ne restera rien pour l’avenir. Comment pouvons-nous pêcher de manière intelligente et durable ?",,,,
SCENARIOS,choice,fishing-practices_sustainable-quotas,fr,text,Fixer des limites plus strictes quant à la quantité de poissons que nous pouvons pêcher.,25,-5,10,
SCENARIOS,consequence,fishing-practices_sustainable-quotas,fr,consequence,"En laissant suffisamment de poissons dans les océans, nous faisons en sorte que leurs populations puissent continuer à se régénérer.",,,,
SCENARIOS,pros,fishing-practices_sustainable-quotas,fr,pros,Les populations de poissons demeurent en santé et se développent. Les emplois de la pêche sont maintenus pendant de nombreuses années.,,,,
SCENARIOS,cons,fishing-practices_sustainable-quotas,fr,cons,Il se peut que les pêcheur.euse.s gagnent moins d’argent dans un premier temps.,,,,
SCENARIOS,choice,fishing-practices_unlimited-fishing,fr,text,N’attraper que les espèces les plus abondantes,-35,15,-15,
SCENARIOS,consequence,fishing-practices_unlimited-fishing,fr,consequence,"Même les espèces les plus abondantes peuvent être surexploitées. Sans des limites claires, ces espèces pourraient finir par disparaître.",,,,
SCENARIOS,pros,fishing-practices_unlimited-fishing,fr,pros,Les pêcheur.euse.s font plus d’argent à court terme.,,,,
SCENARIOS,cons,fishing-practices_unlimited-fishing,fr,cons,Certaines espèces de poissons disparaissent. Les emplois du domaine de la pêche se rarifient sur le long terme.,,,,
SCENARIOS,choice,fishing-practices_marine-reserves,fr,text,Créer des zones protégées où la pêche est interdite.,30,-10,5,
SCENARIOS,consequence,fishing-practices_marine-reserves,fr,consequence,"Des zones protégées bien placées offrent aux poissons des endroits sécuritaires où grandir et se reproduire. Quand les poissons quittent ces zones, ils contribuent aussi à « réapprovisionner » d’autres endroits.",,,,
SCENARIOS,pros,fishing-practices_marine-reserves,fr,pros,Les populations de poissons demeurent en santé et grandissent.,,,,
SCENARIOS,cons,fishing-practices_marine-reserves,fr,cons,Il reste moins d’endroits où pêcher. La surpêche peut quand même se poursuivre ailleurs.,,,,
SCENARIOS,title,shipping-traffic,fr,title,Danger sur les « autoroutes » des baleines,,,,
SCENARIOS,description,shipping-traffic,fr,description,"Les grands navires qui transportent des marchandises et des personnes sur l’océan entrent parfois en collision avec des baleines noires de l’Atlantique Nord. Avec moins de 400 spécimens restants dans le monde entier, cette espèce est menacée d’extinction. Que devrions-nous faire pour aider ?",,,,
SCENARIOS,choice,shipping-traffic_speed-restrictions,fr,text,Ralentir les navires dans les zones où les baleines sont présentes en grand nombre.,15,-8,0,
SCENARIOS,consequence,shipping-traffic_speed-restrictions,fr,consequence,"Quand les navires se déplacent plus lentement, il y a moins de risque qu’ils ne tuent une baleine s’ils entrent en collision avec l’une d’elles. C’est comme une limite de vitesse pour l’océan.",,,,
SCENARIOS,pros,shipping-traffic_speed-restrictions,fr,pros,Cela sauve des baleines.,,,,
SCENARIOS,cons,shipping-traffic_speed-restrictions,fr,cons,"Cela prend plus de temps aux navires pour livrer les marchandises, ce qui ralentit notre chaîne d’approvisionnement. Le transport de marchandises coûte également plus cher, ce qui pourrait signifier que le prix des produits dont nous avons besoin augmente.",,,,
SCENARIOS,choice,shipping-traffic_ignore-whales,fr,text,Déplacer les voies maritimes pour complètement éviter les aires d’alimentation et les voies migratoires.,10,-5,0,
SCENARIOS,consequence,shipping-traffic_ignore-whales,fr,consequence,Moins de baleines se font frapper et meurent si les navires sont déplacés des zones où l’on en dénombre le plus.,,,,
SCENARIOS,pros,shipping-traffic_ignore-whales,fr,pros,La population de baleines noires de l’Atlantique Nord aura plus de chance de récupérer.,,,,
SCENARIOS,cons,shipping-traffic_ignore-whales,fr,cons,Cela pourrait prendre plus de temps pour obtenir les produits dont nous avons besoin. Les baleines peuvent encore se déplacer vers de nouvelles voies de navigation.,,,,
SCENARIOS,choice,shipping-traffic_detection-systems,fr,text,Prévoir sur les navires du personnel et de la technologie pour observer les baleines.,25,-15,5,
SCENARIOS,consequence,shipping-traffic_detection-systems,fr,consequence,Les données satellitaires et les observateur.trice.s peuvent alerter les capitaines des navires quand des baleines se trouvent à proximité.,,,,
SCENARIOS,pros,shipping-traffic_detection-systems,fr,pros,Les navires disposent des informations nécessaires pour éviter de frapper des baleines.,,,,
SCENARIOS,cons,shipping-traffic_detection-systems,fr,cons,"Cela engendre des frais supplémentaires pour les sociétés de transport maritime, des frais qui pourraient être répercutés sur les client.e.s.",,,,
SCENARIOS,title,renewable-energy,fr,title,Énergie éolienne marine,,,,
SCENARIOS,description,renewable-energy,fr,description,"La Nouvelle-Écosse veut construire de grandes éoliennes dans l’océan. Celles-ci pourraient alimenter nos maisons en énergie avec de l’électricité propre, réduisant ainsi notre empreinte carbone. Mais leur construction et leur exploitation pourraient engendrer du bruit susceptible de déranger les baleines, les poissons, et les oiseaux marins. Quel est le meilleur plan ?",,,,
SCENARIOS,choice,renewable-energy_careful-planning,fr,text,Planifier soigneusement d’éviter les voies migratoires des baleines et des oiseaux.,15,5,20,
SCENARIOS,consequence,renewable-energy_careful-planning,fr,consequence,Nous obtenons plus d’énergie propre tout en protégeant les « autoroutes » très fréquentées des animaux.,,,,
SCENARIOS,pros,renewable-energy_careful-planning,fr,pros,Nous pouvons réduire notre empreinte carbone sans porter atteinte à la faune et à la flore marines.,,,,
SCENARIOS,cons,renewable-energy_careful-planning,fr,cons,"Cela prend plus de temps à planifier. Cette solution pourrait impliquer de s’éloigner des côtes, et coûter plus cher.",,,,
SCENARIOS,choice,renewable-energy_no-renewables,fr,text,Interdire la construction de parcs éoliens au large,-10,-5,-15,
SCENARIOS,consequence,renewable-energy_no-renewables,fr,consequence,"Si certains animaux sont épargnés par la pollution sonore, en revanche, nous avons moins d’énergie propre.",,,,
SCENARIOS,pros,renewable-energy_no-renewables,fr,pros,"Pas de stress supplémentaire résultant de la pollution sonore pour les baleines, les poissons et les oiseaux marins.",,,,
SCENARIOS,cons,renewable-energy_no-renewables,fr,cons,"Il se peut que nous ayons à continuer de brûler des combustibles fossiles, ce qui aurait un impact encore plus important sur les espèces marines.",,,,
SCENARIOS,choice,renewable-energy_adaptive-technology,fr,text,Concevoir des éoliennes moins bruyantes,20,-5,15,
SCENARIOS,consequence,renewable-energy_adaptive-technology,fr,consequence,"De nouvelles conceptions de modèles silencieux minimisent le bruit, et pourraient devenir des récifs artificiels qui attireraient les poissons et autres espèces marines.",,,,
SCENARIOS,pros,renewable-energy_adaptive-technology,fr,pros,Cela réduit la pollution sonore et ses effets sur le milieu biologique marin.,,,,
SCENARIOS,cons,renewable-energy_adaptive-technology,fr,cons,Option plus dispendieuse à développer. La nouvelle technologie pourrait ne pas toujours fonctionner tel que prévu.,,,,
SCENARIOS,title,coastal-development,fr,title,Construire près de la plage,,,,
SCENARIOS,description,coastal-development,fr,description,"De plus en plus de gens décident de s’installer le long du merveilleux littoral de la Nouvelle-Écosse. On y construit de nouvelles maisons, des chalets ainsi que des hôtels. Mais le développement immobilier peut endommager les habitats naturels côtiers, et causer de la pollution et de l’érosion. Comment devrions-nous nous y prendre pour construire de manière responsable ?",,,,
SCENARIOS,choice,coastal-development_green-development,fr,text,Avoir recours à des méthodes permettant de minimiser les dommages causés aux habitats naturels et à la qualité de l’eau.,20,-5,15,
SCENARIOS,consequence,coastal-development_green-development,fr,consequence,L’environnement est moins pollué.,,,,
SCENARIOS,pros,coastal-development_green-development,fr,pros,Les écosystèmes côtiers et marins ne sont pas aussi durement touchés.,,,,
SCENARIOS,cons,coastal-development_green-development,fr,cons,Option plus dispendieuse pour construire. Cela prend plus de temps pour terminer des projets.,,,,
SCENARIOS,choice,coastal-development_unrestricted-development,fr,text,Empêcher tout développement sur les terrains côtiers,30,-10,-10,
SCENARIOS,consequence,coastal-development_unrestricted-development,fr,consequence,Les habitats naturels côtiers et l’accès public au littoral sont protégés.,,,,
SCENARIOS,pros,coastal-development_unrestricted-development,fr,pros,Les écosystèmes peuvent s’épanouir.,,,,
SCENARIOS,cons,coastal-development_unrestricted-development,fr,cons,"Cela réduit les zones où les gens peuvent vivre, et les force à construire plus à l’intérieur des terres.",,,,
SCENARIOS,choice,coastal-development_buffer-zones-coastal,fr,text,Construire plus loin des côtes. Laisser davantage d’espaces naturels entre les constructions et l’eau,25,-8,12,
SCENARIOS,consequence,coastal-development_buffer-zones-coastal,fr,consequence,Ces zones tampons côtières fonctionnent comme des filtres nettoyant l’eau sale avant qu’elle n’atteigne l’océan.,,,,
SCENARIOS,pros,coastal-development_buffer-zones-coastal,fr,pros,"La qualité de l’eau est maintenue, et les maisons sont davantage à l’abri des tempêtes.",,,,
SCENARIOS,cons,coastal-development_buffer-zones-coastal,fr,cons,Moins d’espace disponible pour construire. Il y a moins de constructions avec vue sur l’océan.,,,,
SCENARIOS,title,plastic-pollution,mi,title,Kaqawej maqamikew!,,,,
SCENARIOS,description,plastic-pollution,mi,description,Oqwa! Kaqawej aqq plastik ma't wetapekl wuskitqamu'k puksit. Mimkitamuj kisi'kt wipusultip plastik ma't na jellyfish aqq kesalultijik mu'in. Nkmuj na ji'nm kesimqwatijik?,,,,
SCENARIOS,choice,plastic-pollution_ban-plastics,mi,text,Maqamitenej kaqawej plastik ma'tujik,20,-5,5,
SCENARIOS,consequence,plastic-pollution_ban-plastics,mi,consequence,"Wela wetultip! Apoqnmuej plastik, samqwan napeskamultijik wjit teli nktuei. Puktusk, tuwalskisk, aqq nemitisk kesalayik apoqonmuej.",,,,
SCENARIOS,pros,plastic-pollution_ban-plastics,mi,pros,Samqwan nkamlamulkwayik. Puksitik wjit apoqonmueyik.,,,,
SCENARIOS,cons,plastic-pollution_ban-plastics,mi,cons,L'nuk elt klamnultijik teli weluiktalanku ma'tajik.,,,,
SCENARIOS,choice,plastic-pollution_ignore-problem,mi,text,Kmutu kesipkwatultinenej plastik,-30,0,-10,
SCENARIOS,consequence,plastic-pollution_ignore-problem,mi,consequence,Mawi! Samqwan kesipawayik plastik ni'p. Uktukamkw wjit puktayik kaqawej.,,,,
SCENARIOS,pros,plastic-pollution_ignore-problem,mi,pros,L'nuk ma ta'n teltultijik mu'in kesalkwatultinenej.,,,,
SCENARIOS,cons,plastic-pollution_ignore-problem,mi,cons,Mimkitamuj aqq nkmuj kisi'kt kespayik. Puksitik apoqoneykw.,,,,
SCENARIOS,choice,plastic-pollution_beach-cleanup,mi,text,Mawulkultimkenej apoqonmuewey,10,0,20,
SCENARIOS,consequence,plastic-pollution_beach-cleanup,mi,consequence,"Wela! Kisu'k kaqawej naskwatimk, ap naskwataq samqwan. Aq wjit wintaponej witapikiktuk!",,,,
SCENARIOS,pros,plastic-pollution_beach-cleanup,mi,pros,Nukwaan ankotunemul samqwanuwa. L'nuk kesteltanej weluey.,,,,
SCENARIOS,cons,plastic-pollution_beach-cleanup,mi,cons,Mutt kesanskomik amsqwan kaqawej. Skitqamu kaqawej teluewey.,,,,
SCENARIOS,title,fishing-practices,mi,title,Kesalultijik aqq Kiskukewey,,,,
SCENARIOS,description,fishing-practices,mi,description,Kesalultijik wjit Nova Scotia aqq kesalultijik wjit puktuk. Kesalultijik wjit puktuk aqq kesalultijik wjit puktuk. Kesalultijik wjit puktuk aqq kesalultijik wjit puktuk. Kesalultijik wjit puktuk aqq kesalultijik wjit puktuk. Kesalultijik wjit puktuk aqq kesalultijik wjit puktuk. Kesalultijik wjit puktuk aqq kesalultijik wjit puktuk.,,,,
SCENARIOS,choice,fishing-practices_sustainable-quotas,mi,text,Kesalultijik wjit puktuk,25,-5,10,
SCENARIOS,consequence,fishing-practices_sustainable-quotas,mi,consequence,Kesalultijik wjit puktuk,,,,
SCENARIOS,pros,fishing-practices_sustainable-quotas,mi,pros,Kesalultijik wjit puktuk,,,,
SCENARIOS,cons,fishing-practices_sustainable-quotas,mi,cons,Kesalultijik wjit puktuk,,,,
SCENARIOS,choice,fishing-practices_unlimited-fishing,mi,text,Kesalultijik wjit puktuk,-35,15,-15,
SCENARIOS,consequence,fishing-practices_unlimited-fishing,mi,consequence,Kesalultijik wjit puktuk,,,,
SCENARIOS,pros,fishing-practices_unlimited-fishing,mi,pros,Kesalultijik wjit puktuk,,,,
SCENARIOS,cons,fishing-practices_unlimited-fishing,mi,cons,Kesalultijik wjit puktuk,,,,
SCENARIOS,choice,fishing-practices_marine-reserves,mi,text,Kesalultijik wjit puktuk,30,-10,5,
SCENARIOS,consequence,fishing-practices_marine-reserves,mi,consequence,Kesalultijik wjit puktuk,,,,
SCENARIOS,pros,fishing-practices_marine-reserves,mi,pros,Kesalultijik wjit puktuk,,,,
SCENARIOS,cons,fishing-practices_marine-reserves,mi,cons,Kesalultijik wjit puktuk,,,,
SCENARIOS,title,shipping-traffic,mi,title,Kesalultijik aqq Kiskukewey,,,,
SCENARIOS,description,shipping-traffic,mi,description,Kesalultijik wjit Nova Scotia aqq kesalultijik wjit puktuk. Kesalultijik wjit puktuk.,,,,
SCENARIOS,choice,shipping-traffic_speed-restrictions,mi,text,Kesalultijik wjit puktuk,15,-8,0,
SCENARIOS,consequence,shipping-traffic_speed-restrictions,mi,consequence,Kesalultijik wjit puktuk,,,,
SCENARIOS,pros,shipping-traffic_speed-restrictions,mi,pros,Kesalultijik wjit puktuk,,,,
SCENARIOS,cons,shipping-traffic_speed-restrictions,mi,cons,Kesalultijik wjit puktuk,,,,
SCENARIOS,choice,shipping-traffic_ignore-whales,mi,text,Kesalultijik wjit puktuk,10,-5,0,
SCENARIOS,consequence,shipping-traffic_ignore-whales,mi,consequence,Kesalultijik wjit puktuk,,,,
SCENARIOS,pros,shipping-traffic_ignore-whales,mi,pros,Kesalultijik wjit puktuk,,,,
SCENARIOS,cons,shipping-traffic_ignore-whales,mi,cons,Kesalultijik wjit puktuk,,,,
SCENARIOS,choice,shipping-traffic_detection-systems,mi,text,Kesalultijik wjit puktuk,25,-15,5,
SCENARIOS,consequence,shipping-traffic_detection-systems,mi,consequence,Kesalultijik wjit puktuk,,,,
SCENARIOS,pros,shipping-traffic_detection-systems,mi,pros,Kesalultijik wjit puktuk,,,,
SCENARIOS,cons,shipping-traffic_detection-systems,mi,cons,Kesalultijik wjit puktuk,,,,
SCENARIOS,title,renewable-energy,mi,title,Kesalultijik aqq Kiskukewey,,,,
SCENARIOS,description,renewable-energy,mi,description,Kesalultijik wjit Nova Scotia aqq kesalultijik wjit puktuk.,,,,
SCENARIOS,choice,renewable-energy_careful-planning,mi,text,Kesalultijik wjit puktuk,15,5,20,
SCENARIOS,consequence,renewable-energy_careful-planning,mi,consequence,Kesalultijik wjit puktuk,,,,
SCENARIOS,pros,renewable-energy_careful-planning,mi,pros,Kesalultijik wjit puktuk,,,,
SCENARIOS,cons,renewable-energy_careful-planning,mi,cons,Kesalultijik wjit puktuk,,,,
SCENARIOS,choice,renewable-energy_no-renewables,mi,text,Kesalultijik wjit puktuk,-10,-5,-15,
SCENARIOS,consequence,renewable-energy_no-renewables,mi,consequence,Kesalultijik wjit puktuk,,,,
SCENARIOS,pros,renewable-energy_no-renewables,mi,pros,Kesalultijik wjit puktuk,,,,
SCENARIOS,cons,renewable-energy_no-renewables,mi,cons,Kesalultijik wjit puktuk,,,,
SCENARIOS,choice,renewable-energy_adaptive-technology,mi,text,Kesalultijik wjit puktuk,20,-5,15,
SCENARIOS,consequence,renewable-energy_adaptive-technology,mi,consequence,Kesalultijik wjit puktuk,,,,
SCENARIOS,pros,renewable-energy_adaptive-technology,mi,pros,Kesalultijik wjit puktuk,,,,
SCENARIOS,cons,renewable-energy_adaptive-technology,mi,cons,Kesalultijik wjit puktuk,,,,
SCENARIOS,title,coastal-development,mi,title,Kesalultijik aqq Kiskukewey,,,,
SCENARIOS,description,coastal-development,mi,description,Kesalultijik wjit Nova Scotia aqq kesalultijik wjit puktuk.,,,,
SCENARIOS,choice,coastal-development_green-development,mi,text,Kesalultijik wjit puktuk,20,-5,15,
SCENARIOS,consequence,coastal-development_green-development,mi,consequence,Kesalultijik wjit puktuk,,,,
SCENARIOS,pros,coastal-development_green-development,mi,pros,Kesalultijik wjit puktuk,,,,
SCENARIOS,cons,coastal-development_green-development,mi,cons,Kesalultijik wjit puktuk,,,,
SCENARIOS,choice,coastal-development_unrestricted-development,mi,text,Kesalultijik wjit puktuk,30,-10,-10,
SCENARIOS,consequence,coastal-development_unrestricted-development,mi,consequence,Kesalultijik wjit puktuk,,,,
SCENARIOS,pros,coastal-development_unrestricted-development,mi,pros,Kesalultijik wjit puktuk,,,,
SCENARIOS,cons,coastal-development_unrestricted-development,mi,cons,Kesalultijik wjit puktuk,,,,
SCENARIOS,choice,coastal-development_buffer-zones-coastal,mi,text,Kesalultijik wjit puktuk,25,-8,12,
